idx,Dataset,Feature Calculator,Feature Level,Number Of Removed Links,Number Of Correct Suggestions,AUC
2,Datasets.Macaque,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,140,40.0,0.6428571428571428
2,Datasets.Macaque,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,140,34.0,0.6214285714285714
2,Datasets.Macaque,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,140,28.0,0.6
2,Datasets.Macaque,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,140,41.0,0.6464285714285715
2,Datasets.Macaque,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,140,2.0,0.5071428571428571
2,Datasets.Macaque,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_2,140,24.0,0.5857142857142857
2,Datasets.Macaque,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1_And_2,140,39.0,0.6392857142857142
2,Datasets.Macaque,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1,140,34.0,0.6214285714285714
2,Datasets.Macaque,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_2,140,33.0,0.6178571428571429
2,Datasets.Macaque,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,140,44.0,0.6571428571428571
2,Datasets.Macaque,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1,140,34.0,0.6214285714285714
2,Datasets.Macaque,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_2,140,41.0,0.6464285714285715
2,Datasets.Macaque,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1_And_2,140,42.0,0.65
2,Datasets.Macaque,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1,140,44.0,0.6571428571428571
2,Datasets.Macaque,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_2,140,50.0,0.6785714285714286
2,Datasets.Macaque,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,140,55.0,0.6964285714285714
2,Datasets.Macaque,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1,140,36.0,0.6285714285714286
2,Datasets.Macaque,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_2,140,24.0,0.5857142857142857
2,Datasets.Macaque,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1_And_2,140,28.0,0.6
3,Datasets.Macaque,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,140,41.0,0.6464285714285715
